proteoms|xeno|gene|mapping
||NCI_ADR_RES|NCI_ADR_RES
|MDA.N|MDA_N|MDA_N
LFQ_BREAST_BT549||BT_549|BREAST_BT549
LFQ_BREAST_HS578T||HS578T|BREAST_HS578T
LFQ_BREAST_MCF7|MCF7|MCF7|BREAST_MCF7
LFQ_BREAST_MCF7ADR|NA|NA|NA
LFQ_BREAST_MDAMB231|MDA.MB.231T|MDA_MB_231|BREAST_MDAMB231
LFQ_BREAST_MDAMB435|MDA.MB.435|MDA_MB_435|BREAST_MDAMB435
LFQ_BREAST_T47D||T47D|BREAST_T47D
LFQ_CNS_SF268|SF.268|SF_268|CNS_SF268
LFQ_CNS_SF295||SF_295|CNS_SF295
LFQ_CNS_SF539|SF.539|SF_539|CNS_SF539
LFQ_CNS_SNB19||SNB_19|CNS_SNB19
LFQ_CNS_SNB75||SNB_75|CNS_SNB75
LFQ_CNS_U251|U251|U251|CNS_U251
LFQ_COLON_COLO205|COLO.205|COLO205|COLON_COLO205
LFQ_COLON_HCC2998|HCC.2998|HCC_2998|COLON_HCC2998
LFQ_COLON_HCT116|HCT.116|HCT_116|COLON_HCT116
LFQ_COLON_HCT15|HCT.15|HCT_15|COLON_HCT15
LFQ_COLON_HT29|HT.29|HT29|COLON_HT29
LFQ_COLON_KM12|KM12|KM12|COLON_KM12
LFQ_COLON_SW620|SW.620|SW_620|COLON_SW620
LFQ_LEUK_CCRFCEM|CCRF.CEM|CCRF_CEM|LEUK_CCRFCEM
LFQ_LEUK_HL60|HL.60.TB|HL_60|LEUK_HL60
LFQ_LEUK_K562|K.562|K_562|LEUK_K562
LFQ_LEUK_MOLT4|MOLT.4|MOLT_4|LEUK_MOLT4
LFQ_LEUK_RPMI8226||RPMI_8226|LEUK_RPMI8226
LFQ_LEUK_SR|SR|SR|LEUK_SR
LFQ_MELAN_LOXIMVI|LOX.IMVI|LOXIMVI|MELAN_LOXIMVI
LFQ_MELAN_M14|M14|M14|MELAN_M14
LFQ_MELAN_MALME3M|MALME.3M|MALME_3M|MELAN_MALME3M
LFQ_MELAN_SKMEL2||SK_MEL_2|MELAN_SKMEL2
LFQ_MELAN_SKMEL28||SK_MEL_28|MELAN_SKMEL28
LFQ_MELAN_SKMEL5||SK_MEL_5|MELAN_SKMEL5
LFQ_MELAN_UACC257||UACC_257|MELAN_UACC257
LFQ_MELAN_UACC62|UACC.62|UACC_62|MELAN_UACC62
LFQ_NSCLC_A549|A549|A549|NSCLC_A549
LFQ_NSCLC_EKVX|EKVX|EKVX|NSCLC_EKVX
LFQ_NSCLC_H226|NCI.H226|NCI_H226|NSCLC_H226
LFQ_NSCLC_H23|NCI.H23|NCI_H23|NSCLC_H23
LFQ_NSCLC_H322M||NCI_H322M|NSCLC_H322M
LFQ_NSCLC_H460|NCI.H460|NCI_H460|NSCLC_H460
LFQ_NSCLC_H522|NCI.H522|NCI_H522|NSCLC_H522
LFQ_NSCLC_HOP62|HOP.62|HOP_62|NSCLS_HOP62
LFQ_NSCLC_HOP92|HOP.92|HOP_92|NSCLC_HOP92
LFQ_OVAR_IGROV1||IGROV1|OVAR_IGROV1
LFQ_OVAR_OVCAR3|OVCAR.3|OVCAR_3|OVAR_OVCAR3
LFQ_OVAR_OVCAR4||OVCAR_4|OVAR_OVCAR4
LFQ_OVAR_OVCAR5|OVCAR.5|OVCAR_5|OVAR_OVCAR5
LFQ_OVAR_OVCAR8||OVCAR_8|OVAR_OVCAR8
LFQ_OVAR_SKOV3||SK_OV_3|OVAR_SKOV3
LFQ_PROSTATE_DU145||DU_145|PROSTATE_DU145
LFQ_PROSTATE_PC3|PC.3|PC_3|PROSTATE_PC3
LFQ_RENAL_7860|X786.0|786_0|RENAL_786_0
LFQ_RENAL_A498||A498|RENAL_A498
LFQ_RENAL_ACHN||ACHN|RENAL_ACHN
LFQ_RENAL_CAKI1|CAKI.1|CAKI_1|RENAL_CAKI1
LFQ_RENAL_RXF393|RXF.393|RXF_393|RENAL_RXF393
LFQ_RENAL_SN12C|SN12C|SN12C|RENAL_SN12C
LFQ_RENAL_TK10||TK_10|RENAL_TK10
LFQ_RENAL_UO31||UO_31|RENAL_UO31
NA|AsPC.1|NA|NA
NA|CA46|NA|NA
NA|CP70|NA|NA
NA|A549.Asc.1|NA|NA
NA|HuH.7|NA|NA
NA|COLO.829|NA|NA
NA|PC.3.M|NA|NA
NA|A375|NA|NA
NA|AS283|NA|NA
NA|GTL.16|NA|NA
NA|HeLa.Luc|NA|NA
